trial,stimulus,prime,word,responsetime,accuracy
1114,49,NL1,morgue,463,1
1115,15,PH2,morgue,437,1
1116,4,PH1,comfy,668,1
1117,52,NL1,arrest,534,1
1118,11,PH2,relax,548,1
1119,37,NH1,excite,676,2
1120,22,PL1,dismal,598,1
1121,54,NL1,comfy,525,1
1122,45,NH2,excite,623,1
1123,30,PL2,dismal,682,1
1124,18,PL1,comfy,502,1
1125,48,NH2,comfy,408,1
1126,1,PH1,excite,608,1
1127,63,NL2,excite,539,1
1128,60,NL2,arrest,589,1
1129,35,NH1,morgue,526,1
1130,20,PL1,payday,583,1
1131,51,NL1,fatal,532,1
1132,44,NH2,dismal,429,1
1133,50,NL1,dismal,553,1
1134,14,PH2,arrest,655,1
1135,8,PH1,dismal,464,1
1136,46,NH2,payday,669,1
1137,47,NH2,relax,613,1
1138,40,NH1,comfy,560,1
1139,16,PH2,dismal,993,1
1140,39,NH1,relax,771,1
1141,38,NH1,payday,970,1
1142,64,NL2,payday,890,1
1143,36,NH1,dismal,1052,1
1144,49,NL1,morgue,1028,1
1145,11,PH2,relax,966,1
1146,37,NH1,excite,820,1
1147,22,PL1,dismal,772,1
1148,57,NL2,morgue,1094,1
1149,10,PH2,payday,1088,1
1150,30,PL2,dismal,1028,1
1151,53,NL1,relax,744,1
1152,24,PL1,arrest,1059,1
1153,46,NH2,payday,747,1
1154,4,PH1,comfy,959,1
1155,12,PH2,comfy,973,1
1156,28,PL2,payday,522,1
1157,48,NH2,comfy,737,1
1158,18,PL1,comfy,569,1
1159,56,NL1,payday,828,1
1160,15,PH2,morgue,1136,1
1161,21,PL1,morgue,1136,1
1162,62,NL2,comfy,953,1
1163,51,NL1,fatal,1112,1
1164,61,NL2,relax,864,1
1165,25,PL2,relax,924,1
1166,42,NH2,arrest,996,1
1167,2,PH1,payday,1060,1
1168,17,PL1,relax,658,1
1169,63,NL2,excite,786,1
1170,44,NH2,dismal,996,1
1171,33,NH1,fatal,1004,1
1172,14,PH2,arrest,948,1
1173,41,NH2,fatal,1026,1
1174,55,NL1,excite,923,1
1175,19,PL1,excite,723,1
1176,47,NH2,relax,766,1
1177,3,PH1,relax,565,1
1178,5,PH1,fatal,1019,1
1179,1,PH1,excite,1030,1
1180,54,NL1,comfy,831,1
1181,20,PL1,payday,616,1
1182,7,PH1,morgue,762,1
1183,40,NH1,comfy,975,1
1184,59,NL2,fatal,895,1
1185,26,PL2,comfy,759,1
1186,8,PH1,dismal,800,1
1187,9,PH2,excite,979,1
1188,50,NL1,dismal,1049,1
1189,60,NL2,arrest,942,1
1190,13,PH2,fatal,977,1
1191,45,NH2,excite,745,1
1192,58,NL2,dismal,983,1
1193,31,PL2,fatal,957,1
1194,23,PL1,fatal,1083,1
1195,29,PL2,morgue,905,1
1196,6,PH1,arrest,950,1
1197,35,NH1,morgue,1021,1
1198,52,NL1,arrest,933,1
1199,12,PH2,comfy,642,1
1200,21,PL1,morgue,751,1
1201,34,NH1,arrest,639,1
1202,29,PL2,morgue,726,1
1203,11,PH2,relax,650,1
